customer_id,customer_name,registration_date
1,Vivaan Reddy,2024-10-16
2,Rahul Verma,2023-01-26
3,Sai Kiran,2023-09-08
4,Vivaan Reddy,2023-05-23
5,Pooja Singh,2024-11-23
6,Kavya Nair,2023-03-31
7,Aarav Sharma,2024-03-08
8,Vivaan Reddy,2023-01-31
9,Sai Kiran,2023-08-12
10,Kavya Nair,2024-06-01
11,Pooja Singh,2023-01-28
12,Pooja Singh,2023-07-23
13,Sai Kiran,2024-03-05
14,Kavya Nair,2024-04-04
15,Aarav Sharma,2023-10-12
16,Aditya Kumar,2025-02-16
17,Ananya Reddy,2024-12-15
18,Rahul Verma,2023-12-15
19,Sai Kiran,2023-06-09
20,Priya Sharma,2025-09-07
21,Vivaan Reddy,2023-04-15
22,Vivaan Reddy,2024-01-25
23,Priya Sharma,2024-01-03
24,Rahul Verma,2024-09-10
25,Aarav Sharma,2025-04-06
26,Sneha Patel,2025-01-17
27,Vivaan Reddy,2024-07-03
28,Ananya Reddy,2025-09-23
29,Pooja Singh,2023-03-22
30,Kavya Nair,2023-10-28
31,Priya Sharma,2025-06-25
32,Sai Kiran,2024-08-14
33,Vivaan Reddy,2024-12-22
34,Sai Kiran,2023-02-16
35,Rahul Verma,2025-03-02
36,Sai Kiran,2023-03-23
37,Vivaan Reddy,2025-06-06
38,Rahul Verma,2024-01-25
39,Priya Sharma,2024-04-09
40,Priya Sharma,2023-06-16
41,Sai Kiran,2023-12-30
42,Rahul Verma,2024-11-17
43,Vivaan Reddy,2024-12-19
44,Aditya Kumar,2024-09-15
45,Sai Kiran,2024-06-30
46,Sneha Patel,2023-06-17
47,Rahul Verma,2024-01-24
48,Pooja Singh,2025-08-05
49,Priya Sharma,2023-08-13
50,Aarav Sharma,2025-05-13
51,Aarav Sharma,2023-08-23
52,Priya Sharma,2025-04-04
53,Rahul Verma,2024-02-15
54,Sai Kiran,2023-03-09
55,Kavya Nair,2025-07-24
56,Priya Sharma,2025-06-16
57,Sneha Patel,2023-08-06
58,Sneha Patel,2024-02-10
59,Rahul Verma,2023-05-27
60,Sai Kiran,2023-05-23
61,Pooja Singh,2025-02-01
62,Rahul Verma,2024-07-05
63,Kavya Nair,2025-02-03
64,Kavya Nair,2024-03-14
65,Priya Sharma,2024-02-13
66,Aditya Kumar,2023-08-13
67,Sneha Patel,2024-06-05
68,Aarav Sharma,2023-04-04
69,Vivaan Reddy,2025-05-31
70,Aditya Kumar,2023-06-06
71,Ananya Reddy,2025-03-22
72,Vivaan Reddy,2024-09-02
73,Ananya Reddy,2024-01-30
74,Sneha Patel,2024-09-02
75,Rahul Verma,2024-06-25
76,Pooja Singh,2025-09-21
77,Aarav Sharma,2025-05-31
78,Vivaan Reddy,2024-11-27
79,Pooja Singh,2024-11-29
80,Rahul Verma,2025-02-07
81,Priya Sharma,2025-02-26
82,Rahul Verma,2023-04-25
83,Aditya Kumar,2024-03-21
84,Aarav Sharma,2024-04-09
85,Rahul Verma,2025-09-03
86,Pooja Singh,2025-09-22
87,Aditya Kumar,2025-02-19
88,Vivaan Reddy,2024-06-03
89,Rahul Verma,2025-06-10
90,Pooja Singh,2025-05-11
91,Sai Kiran,2024-09-15
92,Priya Sharma,2023-06-06
93,Aditya Kumar,2025-02-19
94,Pooja Singh,2024-07-06
95,Aarav Sharma,2025-07-29
96,Priya Sharma,2024-09-05
97,Aarav Sharma,2024-05-15
98,Priya Sharma,2023-04-25
99,Rahul Verma,2025-06-18
100,Aarav Sharma,2023-09-03
101,Kavya Nair,2023-09-04
102,Vivaan Reddy,2025-08-27
103,Sneha Patel,2023-03-29
104,Vivaan Reddy,2025-04-15
105,Pooja Singh,2025-02-17
106,Aditya Kumar,2025-02-23
107,Sneha Patel,2023-05-12
108,Pooja Singh,2025-08-27
109,Rahul Verma,2023-06-19
110,Kavya Nair,2024-06-24
111,Sai Kiran,2024-03-09
112,Pooja Singh,2025-08-09
113,Sai Kiran,2025-02-12
114,Rahul Verma,2024-12-31
115,Priya Sharma,2024-02-13
116,Pooja Singh,2024-03-24
117,Vivaan Reddy,2024-04-07
118,Sai Kiran,2023-09-11
119,Priya Sharma,2023-03-07
120,Kavya Nair,2023-01-22
121,Sai Kiran,2024-07-21
122,Sai Kiran,2024-08-25
123,Vivaan Reddy,2023-01-08
124,Aarav Sharma,2024-12-25
125,Vivaan Reddy,2023-08-23
126,Aarav Sharma,2025-07-16
127,Priya Sharma,2025-05-30
128,Pooja Singh,2023-03-14
129,Rahul Verma,2023-09-01
130,Sneha Patel,2024-11-16
131,Pooja Singh,2023-08-08
132,Kavya Nair,2023-05-16
133,Sneha Patel,2024-08-13
134,Sneha Patel,2023-09-06
135,Ananya Reddy,2025-04-06
136,Vivaan Reddy,2023-07-14
137,Ananya Reddy,2023-04-10
138,Ananya Reddy,2023-12-29
139,Sneha Patel,2024-02-25
140,Aarav Sharma,2025-06-03
141,Vivaan Reddy,2024-11-20
142,Ananya Reddy,2023-03-04
143,Priya Sharma,2025-01-15
144,Vivaan Reddy,2025-03-30
145,Sai Kiran,2023-09-12
146,Pooja Singh,2023-07-14
147,Aditya Kumar,2024-04-04
148,Aditya Kumar,2024-03-08
149,Sneha Patel,2023-10-13
150,Vivaan Reddy,2023-09-13
151,Pooja Singh,2024-03-29
152,Aarav Sharma,2023-04-11
153,Pooja Singh,2024-10-29
154,Aarav Sharma,2025-05-06
155,Vivaan Reddy,2025-09-19
156,Sai Kiran,2025-08-06
157,Ananya Reddy,2023-06-20
158,Sneha Patel,2024-05-12
159,Ananya Reddy,2023-08-07
160,Aarav Sharma,2025-07-13
161,Ananya Reddy,2023-06-18
162,Ananya Reddy,2023-01-03
163,Sneha Patel,2023-09-29
164,Ananya Reddy,2023-10-20
165,Pooja Singh,2024-12-14
166,Sneha Patel,2024-11-08
167,Sai Kiran,2023-06-08
168,Sai Kiran,2023-10-31
169,Aarav Sharma,2025-09-18
170,Pooja Singh,2024-08-16
171,Priya Sharma,2023-03-04
172,Aarav Sharma,2023-02-28
173,Sneha Patel,2024-08-21
174,Pooja Singh,2024-05-29
175,Aarav Sharma,2023-06-11
176,Pooja Singh,2025-09-10
177,Aditya Kumar,2023-03-24
178,Kavya Nair,2023-03-12
179,Sai Kiran,2023-03-11
180,Vivaan Reddy,2024-02-18
181,Kavya Nair,2025-08-22
